Base_Term,Skill_Term,City,radius,indeed_url,new_jobs_count
Data Scientist,Pig,"New York,NY",25,"http://www.indeed.com/jobs?q=Pig+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Pig,"New York,NY",25,"http://www.indeed.com/jobs?q=Pig+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,PostgreSQL,"New York,NY",25,"http://www.indeed.com/jobs?q=PostgreSQL+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,PostgreSQL,"New York,NY",25,"http://www.indeed.com/jobs?q=PostgreSQL+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Product Development,"New York,NY",25,"http://www.indeed.com/jobs?q=Product Development+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Product Development,"New York,NY",25,"http://www.indeed.com/jobs?q=Product Development+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,project management,"New York,NY",25,"http://www.indeed.com/jobs?q=project management+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,project management,"New York,NY",25,"http://www.indeed.com/jobs?q=project management+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Python,"New York,NY",25,"http://www.indeed.com/jobs?q=Python+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Python,"New York,NY",25,"http://www.indeed.com/jobs?q=Python+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,R,"New York,NY",25,"http://www.indeed.com/jobs?q=R+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,R,"New York,NY",25,"http://www.indeed.com/jobs?q=R+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Rails,"New York,NY",25,"http://www.indeed.com/jobs?q=Rails+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Rails,"New York,NY",25,"http://www.indeed.com/jobs?q=Rails+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,real analysis,"New York,NY",25,"http://www.indeed.com/jobs?q=real analysis+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,real analysis,"New York,NY",25,"http://www.indeed.com/jobs?q=real analysis+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,RegEx,"New York,NY",25,"http://www.indeed.com/jobs?q=RegEx+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,RegEx,"New York,NY",25,"http://www.indeed.com/jobs?q=RegEx+Data Analytics&l=New York,NY&radius=25",5
Data Scientist,Ruby,"New York,NY",25,"http://www.indeed.com/jobs?q=Ruby+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Ruby,"New York,NY",25,"http://www.indeed.com/jobs?q=Ruby+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,SAS ,"New York,NY",25,"http://www.indeed.com/jobs?q=SAS +Data Scientist&l=New York,NY&radius=25",0
Data Analytics,SAS ,"New York,NY",25,"http://www.indeed.com/jobs?q=SAS +Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Simulation,"New York,NY",25,"http://www.indeed.com/jobs?q=Simulation+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,Simulation,"New York,NY",25,"http://www.indeed.com/jobs?q=Simulation+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,social networks,"New York,NY",25,"http://www.indeed.com/jobs?q=social networks+Data Scientist&l=New York,NY&radius=25",0
Data Analytics,social networks,"New York,NY",25,"http://www.indeed.com/jobs?q=social networks+Data Analytics&l=New York,NY&radius=25",0
Data Scientist,Spatial Statistics,"New York,NY",25,"http://www.indeed.com/jobs?q=Spatial Statistics+Data Scientist&l=New York,NY&radius=25",5
